cell,complex,direction,motion,on_off
0,0.5,0,0,0
1,0.5,0,1,0
2,0.5,0,0,0
3,1,0,1,0
4,0,1,0,0
5,1,0,0,0
6,0.5,0,1,0
7,-1,-1,-1,-1
8,0.5,0.5,1,0
9,1,1,1,0
10,0.5,1,1,0
11,0.5,0,0,1
12,1,0,0,1
13,0.5,0,0,1
14,0.5,1,0.5,0
15,1,1,0.5,0
16,1,1,0.5,0
17,0.5,0.5,0.5,0.5
18,0.5,0,0,0.5
19,0.5,0,0,1
20,1,0,0.5,1
21,1,0,0.5,1
22,0.5,0.5,0,0.5
23,0.5,1,0.5,0
24,0.5,0,0,1
25,1,0.5,0.5,0
26,0.5,1,0,0
27,1,1,0,0
28,-1,-1,-1,-1
29,0.5,0,0,1
30,0.5,1,0,0
31,-1,-1,-1,-1
32,0.5,0.5,0.5,0
33,1,0,0,1
34,1,0,0,1
35,1,1,1,0
36,1,0,1,0
37,1,1,0,0
38,1,1,0,0
39,0,0,0.5,0
40,1,0,0,0
41,1,0,0,0
42,0.5,0,0,0
43,0.5,0.5,0.5,0
44,1,1,0,0
45,1,1,0,0
46,0.5,0,0,1
47,1,0,1,0
48,0.5,0,0,0
49,1,0,0,1
50,0.5,1,0,0
51,1,0,0,1
52,0.5,1,0,0
53,0.5,1,0,1
54,0.5,0.5,1,0.5
55,0.5,0,0,1
56,1,0,0,1
57,0.5,1,1,0
58,1,1,0.5,0
59,0.5,1,0,0
60,0.5,0,0,0
61,1,0,1,0
62,1,0,0,0
63,0.5,0,1,0
64,1,0,0,1
65,1,1,0,0
66,1,0,1,0
67,0.5,0,0,0
68,1,0,0,1
69,0.5,0,0,1
70,0.5,0,0,1
71,1,0,1,0
72,1,0,1,0
73,0.5,0,0,1
74,-1,-1,-1,-1
75,0.5,1,0,0
76,-1,-1,-1,-1
77,0.5,0,0.5,0
78,0.5,0,1,1
79,1,0,0,0
80,1,0,0,0
81,1,0,0,0
82,0.5,1,0.5,0
83,0.5,1,0,0.5
84,0.5,0,0.5,0.5
85,0.5,0,0,1
86,1,0,0,1
87,0.5,0.5,0.5,0
88,1,0,0,1
89,1,0,0,0
90,1,0,0,1
91,-1,-1,-1,-1
92,0.5,0,1,0
93,1,1,0,0
94,0.5,1,0,0
95,0.5,0,0,1
96,0.5,0,0,1
97,1,0,0,1
98,0.5,0,0.5,0.5
99,0.5,0,0,1
100,1,0,1,0
101,1,0,0,1
102,0.5,0.5,1,0
103,0.5,1,0.5,0
104,1,1,1,0
105,1,0,0,1
106,0.5,1,0,0
107,1,0,0,0
108,0.5,0,0,0
109,0.5,0,0.5,0
110,0.5,0,0,1
111,0.5,0,0,1
112,0.5,0,1,0
113,1,0,1,0
114,0.5,0,0,1
115,-1,-1,-1,-1
116,0.5,0,0,1
117,0.5,0,0,1
118,0.5,0,0.5,1
119,0.5,0,0,0
120,0.5,0,0.5,0.5
121,-1,-1,-1,-1
122,1,0,0,0
123,1,0,0,1
124,1,0,1,0
125,1,0,0,1
126,1,0,0,1
127,0.5,1,0,0
128,1,0.5,1,0
129,0.5,0,0,1
130,0.5,0,0,1
131,1,0,0,1
132,0.5,0,0,0
133,0.5,0,0,1
134,1,0,0,0
135,0.5,0,0,0
136,0.5,0,0,1
137,1,0,1,0
138,0.5,0,0,1
139,1,0,0.5,0
140,0.5,0,0,1
141,1,0,0,1
142,1,0,0,1
143,0.5,0,1,1
144,0.5,0,0.5,1
145,-1,-1,-1,-1
146,-1,-1,-1,-1
147,1,0,0,1
148,1,0,0.5,1
149,0.5,0,0,0
150,0.5,0,0,1
151,0.5,0,0,0
152,1,0.5,0.5,0
153,0,0,0,0
154,0,0,1,0
155,1,0,1,0
156,0.5,0,0,1
157,0.5,1,0,0
158,1,0,0,1
159,0.5,0,0,0
160,0.5,0,0,1
161,1,1,0,0
162,0.5,1,0,0
163,-1,-1,-1,-1
164,1,1,0,0
165,1,0,0,1
166,1,0,0,0
167,0.5,0,0,0
168,0.5,0,0,0
169,0.5,0,0,1
170,0.5,0,0,1
171,0.5,0,0,1
172,1,0,0,1
173,1,0,0,1